Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
52	16:45:07	16:45:07	16:45:07	16:45:07	16:45:07	16:45:07			16:45:07	16:45:07	16:45:07	16:45:07	16:45:12	16:45:12	16:45:12	16:45:12	16:45:12	16:45:12			16:45:13	16:45:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
53	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13	16:45:13			16:45:13	16:45:13	16:45:13	16:45:13	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18	16:45:18			16:45:20	16:45:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
54	16:45:20	16:45:20	16:45:20	16:45:20	16:45:20	16:45:20			16:45:20	16:45:20	16:45:20	16:45:20	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24	16:45:24			16:45:27	16:45:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
55	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27	16:45:27			16:45:27	16:45:27	16:45:27	16:45:27	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31	16:45:31			16:45:33	16:45:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
56	16:45:33	16:45:33	16:45:33	16:45:33	16:45:33	16:45:33			16:45:33	16:45:33	16:45:33	16:45:33	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37	16:45:37			16:45:39	16:45:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
57	16:45:39	16:45:39	16:45:40	16:45:40	16:45:40	16:45:40			16:45:40	16:45:40	16:45:40	16:45:40	16:45:45	16:45:45	16:45:45	16:45:45	16:45:45	16:45:45			16:45:47	16:45:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
58	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47	16:45:47			16:45:47	16:45:47	16:45:47	16:45:47	16:45:52	16:45:52	16:45:52	16:45:52	16:45:52	16:45:52			16:45:54	16:45:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
59	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54	16:45:54			16:45:54	16:45:54	16:45:54	16:45:54	16:45:58	16:45:58	16:45:58	16:45:58	16:45:58	16:45:58			16:46:00	16:46:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:06
60	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00	16:46:00			16:46:00	16:46:00	16:46:00	16:46:00	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05	16:46:15	16:46:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:10	00:00:14
61	16:46:15	16:46:15	16:46:15	16:46:15	16:46:15	16:46:15			16:46:15	16:46:15	16:46:15	16:46:15	16:46:20	16:46:20	16:46:20	16:46:20	16:46:20	16:46:20			16:46:22	16:46:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
