Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
54	01:41:53	01:41:53	01:41:53	01:41:53	01:41:53	01:41:53			01:41:53	01:41:53	01:41:53	01:41:53	01:41:58	01:41:58	01:41:58	01:41:58	01:41:58	01:41:58			01:42:00	01:42:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
55	01:42:00	01:42:00	01:42:00	01:42:00	01:42:00	01:42:00			01:42:01	01:42:01	01:42:01	01:42:01	01:42:05	01:42:05	01:42:05	01:42:05	01:42:06	01:42:06			01:42:07	01:42:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
56	01:42:07	01:42:07	01:42:07	01:42:07	01:42:07	01:42:07			01:42:07	01:42:07	01:42:07	01:42:07	01:42:12	01:42:12	01:42:12	01:42:12	01:42:12	01:42:12			01:42:14	01:42:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
57	01:42:14	01:42:14	01:42:14	01:42:14	01:42:14	01:42:14			01:42:14	01:42:14	01:42:14	01:42:14	01:42:19	01:42:19	01:42:19	01:42:19	01:42:19	01:42:19			01:42:21	01:42:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
58	01:42:21	01:42:21	01:42:21	01:42:21	01:42:21	01:42:21			01:42:21	01:42:21	01:42:21	01:42:21	01:42:25	01:42:25	01:42:25	01:42:25	01:42:25	01:42:25			01:42:28	01:42:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
59	01:42:28	01:42:28	01:42:28	01:42:28	01:42:28	01:42:28			01:42:28	01:42:28	01:42:28	01:42:28	01:42:32	01:42:32	01:42:32	01:42:32	01:42:32	01:42:32			01:42:35	01:42:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:03	00:00:07
60	01:42:35	01:42:35	01:42:36	01:42:36	01:42:36	01:42:36			01:42:36	01:42:36	01:42:36	01:42:36	01:42:41	01:42:41	01:42:41	01:42:41	01:42:41	01:42:41	01:42:41	01:42:41	01:42:51	01:42:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00	00:00:00	00:00:09	00:00:15
61	01:42:51	01:42:51	01:42:51	01:42:51	01:42:51	01:42:51			01:42:51	01:42:51	01:42:51	01:42:51	01:42:55	01:42:55	01:42:55	01:42:55	01:42:55	01:42:55			01:42:58	01:42:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
62	01:42:58	01:42:58	01:42:58	01:42:58	01:42:58	01:42:58			01:42:58	01:42:58	01:42:58	01:42:58	01:43:02	01:43:02	01:43:02	01:43:02	01:43:02	01:43:02			01:43:05	01:43:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
63	01:43:05	01:43:05	01:43:05	01:43:05	01:43:05	01:43:05			01:43:05	01:43:05	01:43:05	01:43:05	01:43:09	01:43:09	01:43:09	01:43:09	01:43:09	01:43:09			01:43:11	01:43:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
64	01:43:11	01:43:11	01:43:11	01:43:11	01:43:11	01:43:11			01:43:11	01:43:11	01:43:11	01:43:11	01:43:15	01:43:15	01:43:15	01:43:15	01:43:15	01:43:15			01:43:17	01:43:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
65	01:43:17	01:43:17	01:43:17	01:43:17	01:43:17	01:43:17			01:43:17	01:43:17	01:43:17	01:43:17	01:43:21	01:43:21	01:43:21	01:43:21	01:43:21	01:43:21			01:43:23	01:43:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
66	01:43:23	01:43:23	01:43:23	01:43:23	01:43:23	01:43:23			01:43:23	01:43:23	01:43:23	01:43:23	01:43:27	01:43:27	01:43:27	01:43:27	01:43:27	01:43:27			01:43:29	01:43:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:05
67	01:43:29	01:43:29	01:43:29	01:43:29	01:43:29	01:43:29			01:43:29	01:43:29	01:43:29	01:43:29	01:43:34	01:43:34	01:43:34	01:43:34	01:43:34	01:43:34			01:43:36	01:43:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
68	01:43:36	01:43:36	01:43:36	01:43:36	01:43:36	01:43:36			01:43:36	01:43:36	01:43:36	01:43:36	01:43:42	01:43:42	01:43:42	01:43:42	01:43:42	01:43:42			01:43:43	01:43:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:07
69	01:43:43	01:43:43	01:43:43	01:43:43	01:43:43	01:43:43			01:43:43	01:43:43	01:43:44	01:43:44	01:43:48	01:43:48	01:43:48	01:43:48	01:43:48	01:43:48			01:43:51	01:43:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
70	01:43:51	01:43:51	01:43:51	01:43:51	01:43:51	01:43:51			01:43:51	01:43:51	01:43:51	01:43:51	01:43:55	01:43:55	01:43:55	01:43:55	01:43:55	01:43:55	01:43:55	01:43:55	01:43:59	01:43:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:03	00:00:07
71	01:43:59	01:43:59	01:43:59	01:43:59	01:43:59	01:43:59			01:43:59	01:43:59	01:43:59	01:43:59	01:44:04	01:44:04	01:44:04	01:44:04	01:44:04	01:44:04			01:44:05	01:44:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:01	00:00:06
