# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
34	para_30_53	PROSPECTING	34_2	WeightedEndTimeExtension	30_0	1	0	-122.01063066024506	-198.255897653175	19:45:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
34	para_30_53	PROSPECTING	=====	=====	=====	2	0	-122.01063066024506	-198.255897653175	=====	=====	=====	=====
34	para_31_54	PROSPECTING	34_1	WeightedEndTimeExtension	31_0	1	0	-193.53355190381308	12.293680616190443	09:30:00	22:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_31_54	PROSPECTING	=====	=====	=====	1	0	-193.53355190381308	12.293680616190443	=====	=====	=====	=====
34	para_31_55	PROSPECTING	31_0	CreateNewPlan	none	1	0	-171.08549259910419	52.036645632275594	13:00:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_31_55	PROSPECTING	=====	=====	=====	1	0	-171.08549259910419	52.036645632275594	=====	=====	=====	=====
34	para_31_56	PROSPECTING	31_0	CreateNewPlan	none	1	0	-143.83212508522053	234.37452071756042	14:30:00	21:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_31_56	PROSPECTING	=====	=====	=====	1	0	-143.83212508522053	234.37452071756042	=====	=====	=====	=====
34	para_31_57	PROSPECTING	31_0	CreateNewPlan	none	1	0	-125.19215176746258	-189.36705119786916	18:00:00	22:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_31_57	PROSPECTING	34_0	WeightedEndTimeExtension	31_0	1	0	-142.50273011005171	-189.36705119786916	18:00:00	24:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_31_57	PROSPECTING	=====	=====	=====	2	0	-267.69488187751426	-189.36705119786916	=====	=====	=====	=====
34	para_32_58	PROSPECTING	32_0	CreateNewPlan	none	2	0	-293.3307218083818	-26.567084039481983	16:00:00	23:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
34	para_32_58	PROSPECTING	=====	=====	=====	2	0	-293.3307218083818	-26.567084039481983	=====	=====	=====	=====
34	para_33_59	PROSPECTING	33_0	CreateNewPlan	none	3	0	-330.67089509690203	85.54392620992593	20:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
34	para_33_59	PROSPECTING	=====	=====	=====	3	0	-330.67089509690203	85.54392620992593	=====	=====	=====	=====
35	para_29_50	BANKRUPT	35_2	WeightedStartTimeExtension	34_1	1	0	-245.63427475902068	-204.48936758710636	03:15:00	24:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
35	para_29_50	BANKRUPT	=====	=====	=====	1	0	-245.63427475902068	-204.48936758710636	=====	=====	=====	=====
35	para_30_51	PROSPECTING	35_2	WeightedStartTimeExtension	34_1	1	0	-133.1186785714383	175.28157924322693	04:45:00	09:30:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_30_51	PROSPECTING	=====	=====	=====	1	0	-133.1186785714383	175.28157924322693	=====	=====	=====	=====
35	para_30_52	PROSPECTING	35_3	WeightedStartTimeExtension	30_0	1	0	-228.9971315366983	128.51746160768215	04:15:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
35	para_30_52	PROSPECTING	=====	=====	=====	1	0	-228.9971315366983	128.51746160768215	=====	=====	=====	=====
35	para_30_53	PROSPECTING	35_3	WeightedStartTimeExtension	34_2	1	0	-135.6000950433444	166.1440073034806	17:30:00	22:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
35	para_30_53	PROSPECTING	=====	=====	=====	1	0	-135.6000950433444	166.1440073034806	=====	=====	=====	=====
35	para_31_54	BANKRUPT	34_1	WeightedEndTimeExtension	31_0	1	0	-193.4886508423657	-181.19497022617526	09:30:00	22:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_31_54	BANKRUPT	=====	=====	=====	1	0	-193.4886508423657	-181.19497022617526	=====	=====	=====	=====
35	para_31_55	BANKRUPT	35_1	WeightedStartTimeExtension	31_0	1	0	-187.3954050540692	-135.3587594217936	12:15:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_31_55	BANKRUPT	=====	=====	=====	1	0	-187.3954050540692	-135.3587594217936	=====	=====	=====	=====
35	para_31_56	PROSPECTING	31_0	CreateNewPlan	none	1	0	-147.12192720811515	87.25259350944526	14:30:00	21:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_31_56	PROSPECTING	=====	=====	=====	1	0	-147.12192720811515	87.25259350944526	=====	=====	=====	=====
35	para_31_57	PROSPECTING	35_1	WeightedStartTimeExtension	31_0	1	0	-169.23781375987872	141.39513504225212	12:15:00	22:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_31_57	PROSPECTING	=====	=====	=====	1	0	-169.23781375987872	141.39513504225212	=====	=====	=====	=====
35	para_32_58	PROSPECTING	32_0	CreateNewPlan	none	1	0	-152.56172933101016	320.87118662950786	16:00:00	23:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
35	para_32_58	PROSPECTING	=====	=====	=====	1	0	-152.56172933101016	320.87118662950786	=====	=====	=====	=====
35	para_33_59	PROSPECTING	33_0	CreateNewPlan	none	2	0	-224.4266456811833	-238.88271947125736	20:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
35	para_33_59	PROSPECTING	=====	=====	=====	3	0	-224.4266456811833	-238.88271947125736	=====	=====	=====	=====
36	para_30_51	PROSPECTING	36_3	WeightedEndTimeExtension	35_2	1	0	-145.563841221163	29.71773802206394	04:45:00	10:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_30_51	PROSPECTING	=====	=====	=====	1	0	-145.563841221163	29.71773802206394	=====	=====	=====	=====
36	para_30_52	BANKRUPT	36_4	WeightedEndTimeExtension	35_3	1	0	-234.88178240338394	-106.36432079570179	04:15:00	23:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
36	para_30_52	BANKRUPT	=====	=====	=====	1	0	-234.88178240338394	-106.36432079570179	=====	=====	=====	=====
36	para_30_53	PROSPECTING	36_4	WeightedEndTimeExtension	35_3	1	0	-143.730507887829	22.413499415651614	17:30:00	23:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
36	para_30_53	PROSPECTING	=====	=====	=====	1	0	-143.730507887829	22.413499415651614	=====	=====	=====	=====
36	para_31_56	BANKRUPT	36_1	WeightedStartTimeExtension	31_0	1	0	-223.93616313665606	-136.6835696272108	04:00:00	21:15:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_31_56	BANKRUPT	=====	=====	=====	1	0	-223.93616313665606	-136.6835696272108	=====	=====	=====	=====
36	para_31_57	BANKRUPT	36_2	WeightedStartTimeExtension	35_1	1	0	-241.95386191453713	-100.558726872285	02:15:00	22:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_31_57	BANKRUPT	=====	=====	=====	1	0	-241.95386191453713	-100.558726872285	=====	=====	=====	=====
36	para_32_58	PROSPECTING	36_0	WeightedEndTimeExtension	32_0	1	0	-154.70112715455735	166.1700594749505	16:00:00	23:30:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_32_58	PROSPECTING	=====	=====	=====	1	0	-154.70112715455735	166.1700594749505	=====	=====	=====	=====
36	para_33_59	PROSPECTING	33_0	CreateNewPlan	none	1	0	-112.25956047327263	24.006426355978505	20:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
36	para_33_59	PROSPECTING	36_0	WeightedStartTimeExtension	33_0	1	0	-124.8512936994915	24.006426355978505	18:30:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
36	para_33_59	PROSPECTING	=====	=====	=====	2	0	-237.11085417276414	24.006426355978505	=====	=====	=====	=====
36	para_36_60	PROSPECTING	36_0	CreateNewPlan	none	5	0	-605.989706787444	-604.989706787444	08:15:00	10:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_36_60	PROSPECTING	=====	=====	=====	5	0	-605.989706787444	-604.989706787444	=====	=====	=====	=====
36	para_36_61	PROSPECTING	36_0	CreateNewPlan	none	5	0	-972.3936061935144	-971.3936061935144	07:45:00	20:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_36_61	PROSPECTING	=====	=====	=====	5	0	-972.3936061935144	-971.3936061935144	=====	=====	=====	=====
36	para_36_62	PROSPECTING	36_0	CreateNewPlan	none	5	0	-531.5903252994499	-530.5903252994499	10:00:00	10:30:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
36	para_36_62	PROSPECTING	=====	=====	=====	5	0	-531.5903252994499	-530.5903252994499	=====	=====	=====	=====
37	para_30_51	BANKRUPT	37_4	WeightedStartTimeExtension	36_3	1	0	-160.56765111015397	-130.84991308809003	02:15:00	10:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_30_51	BANKRUPT	=====	=====	=====	1	0	-160.56765111015397	-130.84991308809003	=====	=====	=====	=====
37	para_30_53	BANKRUPT	37_5	WeightedStartTimeExtension	36_4	1	0	-241.22840529753657	-218.81490588188495	04:00:00	23:30:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
37	para_30_53	BANKRUPT	=====	=====	=====	1	0	-241.22840529753657	-218.81490588188495	=====	=====	=====	=====
37	para_32_58	PROSPECTING	37_1	WeightedEndTimeExtension	36_0	1	0	-156.56309918201896	9.606960292931547	16:00:00	23:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_32_58	PROSPECTING	=====	=====	=====	1	0	-156.56309918201896	9.606960292931547	=====	=====	=====	=====
37	para_33_59	PROSPECTING	33_0	CreateNewPlan	none	1	0	-112.6067826954948	-215.7813969958678	20:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
37	para_33_59	PROSPECTING	36_0	WeightedStartTimeExtension	33_0	1	0	-127.1810406563515	-215.7813969958678	18:30:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
37	para_33_59	PROSPECTING	=====	=====	=====	2	0	-239.7878233518463	-215.7813969958678	=====	=====	=====	=====
37	para_36_60	PROSPECTING	36_0	CreateNewPlan	none	3	0	-347.0314211218365	47.978872090719506	08:15:00	10:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_36_60	PROSPECTING	=====	=====	=====	3	0	-347.0314211218365	47.978872090719506	=====	=====	=====	=====
37	para_36_61	PROSPECTING	36_0	CreateNewPlan	none	3	0	-583.2639691061241	-554.6575752996386	07:45:00	20:45:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_36_61	PROSPECTING	=====	=====	=====	3	0	-583.2639691061241	-554.6575752996386	=====	=====	=====	=====
37	para_36_62	PROSPECTING	36_0	CreateNewPlan	none	3	0	-307.2827863229156	162.1268883776345	10:00:00	10:30:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_36_62	PROSPECTING	=====	=====	=====	3	0	-307.2827863229156	162.1268883776345	=====	=====	=====	=====
37	para_37_63	PROSPECTING	37_0	CreateNewPlan	none	5	0	-837.638569456707	-836.638569456707	12:15:00	21:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
37	para_37_63	PROSPECTING	=====	=====	=====	5	0	-837.638569456707	-836.638569456707	=====	=====	=====	=====
37	para_37_64	PROSPECTING	37_0	CreateNewPlan	none	5	0	-923.3980345945256	-922.3980345945256	09:30:00	21:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
37	para_37_64	PROSPECTING	=====	=====	=====	5	0	-923.3980345945256	-922.3980345945256	=====	=====	=====	=====
37	para_37_65	PROSPECTING	37_0	CreateNewPlan	none	5	0	-526.35493239362	-525.35493239362	05:15:00	06:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
37	para_37_65	PROSPECTING	=====	=====	=====	5	0	-526.35493239362	-525.35493239362	=====	=====	=====	=====
38	para_32_58	BANKRUPT	38_2	WeightedEndTimeExtension	37_1	1	0	-156.60244468791058	-146.99548439497903	16:00:00	24:00:00	[para_317944867_0_r, para_317944867_0]	[317944867_0_r, 317944867_0, 317944867_0_r]
38	para_32_58	BANKRUPT	=====	=====	=====	1	0	-156.60244468791058	-146.99548439497903	=====	=====	=====	=====
38	para_33_59	PROSPECTING	38_1	WeightedStartTimeExtension	33_0	1	0	-148.53228203818645	135.68632096594575	15:15:00	22:00:00	[para_317944867_0, para_317944867_0_r]	[317944867_0, 317944867_0_r, 317944867_0]
38	para_33_59	PROSPECTING	=====	=====	=====	1	0	-148.53228203818645	135.68632096594575	=====	=====	=====	=====
